subjNo	 ER	 RT	 isLeft	 cohVec	 cohFac	 blocknum	 isDots
1	0	0.37376	0	6	1	1	0
1	0	0.3242	1	6	1	1	0
1	0	0.35694	0	6	1	1	0
1	0	0.37769	0	6	1	1	0
1	0	0.3956	1	6	1	1	0
1	0	0.40253	0	6	1	1	0
1	0	0.3487	1	6	1	1	0
1	0	0.36451	1	6	1	1	0
1	0	0.32223	0	6	1	1	0
1	0	0.38754	0	6	1	1	0
1	0	0.37168	0	6	1	1	0
1	0	0.39184	1	6	1	1	0
1	0	0.40461	0	6	1	1	0
1	0	0.31768	0	6	1	1	0
1	0	0.41965	1	6	1	1	0
1	0	0.40431	1	6	1	1	0
1	0	0.36459	1	6	1	1	0
1	0	0.38143	1	6	1	1	0
1	0	0.4059	1	6	1	1	0
1	0	0.34696	1	6	1	1	0
1	0	0.29224	1	6	1	1	0
1	0	0.36368	1	6	1	1	0
1	0	0.49294	0	6	1	1	0
1	0	0.37429	1	6	1	1	0
1	0	0.29425	1	6	1	1	0
1	0	0.4372	0	6	1	1	0
1	0	0.39751	0	6	1	1	0
1	0	0.35504	0	6	1	1	0
1	0	0.38778	1	6	1	1	0
1	0	0.35455	1	6	1	1	0
1	0	0.43689	1	6	1	1	0
1	0	0.2902	1	6	1	1	0
1	1	0.31695	0	6	1	1	0
1	0	0.42901	0	6	1	1	0
1	0	0.39672	1	6	1	1	0
1	0	0.38182	1	6	1	1	0
1	0	0.41192	1	6	1	1	0
1	0	0.34781	1	6	1	1	0
1	0	0.35654	1	6	1	1	0
1	0	1.0624	1	2.5	0	2	1
1	0	0.81716	0	2.5	0	2	1
1	1	0.73561	0	2.5	0	2	1
1	0	1.0652	1	2.5	0	2	1
1	0	0.87735	0	2.5	0	2	1
1	0	0.84154	1	2.5	0	2	1
1	1	0.79419	1	2.5	0	2	1
1	0	0.98254	1	2.5	0	2	1
1	1	0.73543	1	2.5	0	2	1
1	0	1.1238	0	2.5	0	2	1
1	0	0.72393	1	2.5	0	2	1
1	0	0.60632	1	2.5	0	2	1
1	0	0.77072	0	2.5	0	2	1
1	0	0.70049	0	2.5	0	2	1
1	0	0.6304	0	2.5	0	2	1
1	1	0.72349	1	2.5	0	2	1
1	0	1.6297	0	2.5	0	2	1
